Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
3.50000e-01   6.00000e+00   9.68639e-10   3.31221e-03   1.68307e-08  
3.50000e-01   6.50000e+00   9.31725e-10   3.15673e-03   1.65832e-08  
3.50000e-01   7.00000e+00   9.51762e-10   3.00367e-03   1.73661e-08  
3.50000e-01   7.50000e+00   8.78649e-10   2.84840e-03   1.64632e-08  
3.50000e-01   8.00000e+00   7.55184e-10   2.68502e-03   1.45740e-08  
3.50000e-01   8.50000e+00   6.60357e-10   2.51293e-03   1.31731e-08  
3.50000e-01   9.00000e+00   6.77621e-10   2.36997e-03   1.39192e-08  
3.50000e-01   9.50000e+00   6.76148e-10   2.20436e-03   1.44013e-08  
4.00000e-01   0.00000e+00   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   5.00000e-01   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   1.00000e+00   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   1.50000e+00   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   2.00000e+00   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   2.50000e+00   1.02745e-09   2.98019e-03   1.88208e-08  
4.00000e-01   3.00000e+00   9.28304e-10   2.97442e-03   1.70212e-08  
4.00000e-01   3.50000e+00   8.30008e-10   2.96364e-03   1.52465e-08  
4.00000e-01   4.00000e+00   8.33273e-10   2.93006e-03   1.53939e-08  
4.00000e-01   4.50000e+00   8.39880e-10   2.89061e-03   1.56215e-08  
4.00000e-01   5.00000e+00   8.29408e-10   2.81820e-03   1.56237e-08  
4.00000e-01   5.50000e+00   7.98136e-10   2.74239e-03   1.52410e-08  
4.00000e-01   6.00000e+00   8.03796e-10   2.65238e-03   1.56073e-08  
4.00000e-01   6.50000e+00   7.95196e-10   2.55265e-03   1.57391e-08  
4.00000e-01   7.00000e+00   8.10153e-10   2.44893e-03   1.63711e-08  
4.00000e-01   7.50000e+00   7.31036e-10   2.33170e-03   1.51392e-08  
4.00000e-01   8.00000e+00   7.11604e-10   2.22234e-03   1.50950e-08  
4.00000e-01   8.50000e+00   6.18796e-10   2.09924e-03   1.35057e-08  
4.00000e-01   9.00000e+00   6.32202e-10   2.00335e-03   1.41246e-08  
4.00000e-01   9.50000e+00   6.41714e-10   1.89206e-03   1.47528e-08  
4.50000e-01   0.00000e+00   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   5.00000e-01   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   1.00000e+00   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   1.50000e+00   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   2.00000e+00   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   2.50000e+00   1.04388e-09   2.22339e-03   2.21382e-08  
4.50000e-01   3.00000e+00   9.41472e-10   2.22339e-03   1.99664e-08  
4.50000e-01   3.50000e+00   8.41301e-10   2.22339e-03   1.78420e-08  
4.50000e-01   4.00000e+00   8.43986e-10   2.21586e-03   1.79293e-08  
4.50000e-01   4.50000e+00   8.47593e-10   2.20050e-03   1.80687e-08  
4.50000e-01   5.00000e+00   8.33673e-10   2.17600e-03   1.78717e-08  
4.50000e-01   5.50000e+00   7.98331e-10   2.13055e-03   1.72957e-08  
4.50000e-01   6.00000e+00   8.02666e-10   2.06425e-03   1.76666e-08  
4.50000e-01   6.50000e+00   7.90816e-10   2.00816e-03   1.76472e-08  
4.50000e-01   7.00000e+00   8.04938e-10   1.94953e-03   1.82305e-08  
4.50000e-01   7.50000e+00   7.22050e-10   1.86784e-03   1.67070e-08  
4.50000e-01   8.00000e+00   7.17126e-10   1.79192e-03   1.69409e-08  
4.50000e-01   8.50000e+00   6.20465e-10   1.71532e-03   1.49811e-08  
4.50000e-01   9.00000e+00   6.33889e-10   1.64871e-03   1.56114e-08  
4.50000e-01   9.50000e+00   6.41600e-10   1.57780e-03   1.61525e-08  
5.00000e-01   0.00000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   5.00000e-01   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   1.00000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   1.50000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   2.00000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   2.50000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   3.00000e+00   9.68174e-10   1.70626e-03   2.34386e-08  
5.00000e-01   3.50000e+00   8.63616e-10   1.70626e-03   2.09073e-08  
5.00000e-01   4.00000e+00   8.63616e-10   1.70337e-03   2.09250e-08  
5.00000e-01   4.50000e+00   8.64626e-10   1.69425e-03   2.10058e-08  
5.00000e-01   5.00000e+00   8.47502e-10   1.69137e-03   2.06073e-08  
5.00000e-01   5.50000e+00   8.07975e-10   1.66920e-03   1.97762e-08  
5.00000e-01   6.00000e+00   8.09886e-10   1.62859e-03   2.00686e-08  
