Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.051282   0.001603   0.000000   0.000000 
  0.037879   0.030303   0.000000   0.000000 
  0.018182   0.000000   0.000000   0.000000 
  0.074667   0.002667   0.000000   0.000000 
  0.043956   0.010989   0.000000   0.000000 
  0.095238   0.017007   0.003408   0.000000 
  0.178968   0.020635   0.006485   0.000000 
  0.028409   0.011364   0.000000   0.000000 
  0.125000   0.083333   0.027778   0.000000 
  0.088235   0.017825   0.010695   0.000000 
  0.071429   0.038095   0.000000   0.000000 
  0.109091   0.000000   0.000000   0.000000 
  0.065217   0.005435   0.003623   0.000000 
  0.066667   0.066667   0.000000   0.000000 
  0.118598   0.021563   0.001348   0.000000 
  0.021222   0.010187   0.000000   0.000000 
  0.083127   0.009896   0.000495   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.137270   0.013333   0.004006   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.022727   0.000000   0.000000   0.000000 
  0.068376   0.025641   0.002849   0.000000 
  0.158701   0.024265   0.007353   0.000000 
  0.111741   0.021844   0.005047   0.000000 
  0.180000   0.010000   0.000000   0.000000 
  0.075758   0.032468   0.004329   0.000000 
  0.038089   0.014543   0.004155   0.000000 
  0.060000   0.040000   0.005000   0.000000 
  0.080000   0.041667   0.003333   0.000000 
  0.095238   0.023810   0.001984   0.000000 
  0.011111   0.005556   0.000000   0.000000 
  0.122727   0.034091   0.009091   0.000000 
  0.024691   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.080863   0.013862   0.006175   0.000000 
  0.075397   0.003704   0.000000   0.000000 
  0.088757   0.020710   0.000000   0.000000 
  0.015038   0.015038   0.000000   0.000000 
  0.039698   0.018904   0.007561   0.000000 
  0.042857   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.058516   0.026123   0.000000   0.000000 
  0.092593   0.026455   0.007937   0.000000 
  0.047059   0.000000   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.085714   0.000000   0.000000   0.000000 
  0.118056   0.020833   0.005208   0.000000 
  0.063241   0.055336   0.001976   0.000000 
  0.176224   0.029371   0.002101   0.000000 
  0.083004   0.023715   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.124331   0.037478   0.004767   0.000000 
  0.060977   0.006060   0.000505   0.000000 
  0.183544   0.038854   0.004219   0.000000 
  0.200788   0.018634   0.009685   0.000000 
  0.142901   0.014596   0.002859   0.000000 
  0.180317   0.031526   0.007010   0.000000 
  0.030303   0.000000   0.000000   0.000000 
  0.103233   0.013613   0.001134   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.114286   0.038095   0.014286   0.000000 
  0.080000   0.080000   0.000000   0.000000 
  0.089375   0.007500   0.001250   0.000000 
  0.038278   0.000000   0.000000   0.000000 
  0.082592   0.008010   0.000892   0.000000 
