Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
0.00000e+00   7.30000e+00   1.50330e-04   1.26790e-01   2.44262e-01   3.74921e-02   3.04171e-04   7.76383e-04  
0.00000e+00   7.40000e+00   1.49879e-04   1.26480e-01   2.42944e-01   3.67935e-02   3.04081e-04   7.81369e-04  
0.00000e+00   7.50000e+00   1.48527e-04   1.25860e-01   2.40399e-01   3.61094e-02   3.02928e-04   7.81620e-04  
0.00000e+00   7.60000e+00   1.47175e-04   1.25240e-01   2.37869e-01   3.54390e-02   3.01762e-04   7.81795e-04  
0.00000e+00   7.70000e+00   1.46724e-04   1.24930e-01   2.36621e-01   3.48109e-02   3.01630e-04   7.86400e-04  
0.00000e+00   7.80000e+00   1.45146e-04   1.23070e-01   2.33850e-01   3.42097e-02   3.00150e-04   7.84750e-04  
0.00000e+00   7.90000e+00   1.44245e-04   1.21830e-01   2.31991e-01   3.35905e-02   2.99478e-04   7.87031e-04  
0.00000e+00   8.00000e+00   1.43118e-04   1.20900e-01   2.29824e-01   3.29742e-02   2.98536e-04   7.88147e-04  
0.00000e+00   8.10000e+00   1.41315e-04   1.19040e-01   2.26658e-01   3.22884e-02   2.96826e-04   7.86439e-04  
0.00000e+00   8.20000e+00   1.41090e-04   1.19040e-01   2.25746e-01   3.16858e-02   2.96951e-04   7.92615e-04  
0.00000e+00   8.30000e+00   1.40413e-04   1.18730e-01   2.24189e-01   3.10585e-02   2.96553e-04   7.96743e-04  
0.00000e+00   8.40000e+00   1.39963e-04   1.18420e-01   2.22976e-01   3.04656e-02   2.96404e-04   8.01876e-04  
0.00000e+00   8.50000e+00   1.38160e-04   1.16250e-01   2.20004e-01   2.99742e-02   2.94554e-04   7.98008e-04  
0.00000e+00   8.60000e+00   1.36807e-04   1.15320e-01   2.17615e-01   2.94447e-02   2.93268e-04   7.97271e-04  
0.00000e+00   8.70000e+00   1.35906e-04   1.14080e-01   2.15868e-01   2.89379e-02   2.92512e-04   7.98922e-04  
0.00000e+00   8.80000e+00   1.35230e-04   1.13150e-01   2.14362e-01   2.83619e-02   2.92077e-04   8.02979e-04  
0.00000e+00   8.90000e+00   1.34553e-04   1.12530e-01   2.12918e-01   2.78480e-02   2.91601e-04   8.06302e-04  
0.00000e+00   9.00000e+00   1.34328e-04   1.12530e-01   2.12152e-01   2.73923e-02   2.91637e-04   8.11619e-04  
0.00000e+00   9.10000e+00   1.33427e-04   1.11290e-01   2.10429e-01   2.69094e-02   2.90863e-04   8.13374e-04  
0.00000e+00   9.20000e+00   1.32525e-04   1.10360e-01   2.08721e-01   2.64408e-02   2.90078e-04   8.15005e-04  
0.00000e+00   9.30000e+00   1.32074e-04   1.10050e-01   2.07590e-01   2.59297e-02   2.89878e-04   8.20199e-04  
0.00000e+00   9.40000e+00   1.30271e-04   1.07880e-01   2.04618e-01   2.54380e-02   2.87989e-04   8.16783e-04  
0.00000e+00   9.50000e+00   1.29820e-04   1.07260e-01   2.03582e-01   2.50222e-02   2.87722e-04   8.20692e-04  
0.00000e+00   9.60000e+00   1.28919e-04   1.06330e-01   2.01898e-01   2.45782e-02   2.86913e-04   8.22321e-04  
0.00000e+00   9.70000e+00   1.27116e-04   1.05090e-01   1.99014e-01   2.41743e-02   2.84943e-04   8.17566e-04  
0.00000e+00   9.80000e+00   1.26214e-04   1.04160e-01   1.97330e-01   2.37303e-02   2.84126e-04   8.19326e-04  
0.00000e+00   9.90000e+00   1.24637e-04   1.02610e-01   1.94776e-01   2.33457e-02   2.82409e-04   8.15721e-04  
1.00000e-02   0.00000e+00   3.99603e-04   2.21030e-01   9.65934e-01   4.16304e-01   4.06589e-04   6.19332e-04  
