Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.157463   0.042100   0.014762   0.000000 
  0.042105   0.015038   0.002256   0.000000 
  0.065644   0.017050   0.005115   0.000000 
  0.045351   0.009070   0.000000   0.000000 
  0.035156   0.007812   0.000000   0.000000 
  0.133800   0.017088   0.004101   0.000000 
  0.102564   0.061538   0.010256   0.000000 
  0.109954   0.018742   0.005831   0.000104 
  0.071006   0.005917   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.113395   0.020889   0.006631   0.000000 
  0.017078   0.002846   0.000949   0.000000 
  0.096774   0.026882   0.001075   0.000000 
  0.030769   0.025641   0.000000   0.000000 
  0.062035   0.055831   0.019851   0.000000 
  0.016620   0.000000   0.000000   0.000000 
  0.095238   0.018519   0.002646   0.000000 
  0.137168   0.018805   0.001702   0.000000 
  0.125000   0.015625   0.000000   0.000000 
  0.199694   0.030388   0.009193   0.000000 
  0.011111   0.011111   0.011111   0.000000 
  0.120479   0.028348   0.007295   0.000104 
  0.093333   0.017778   0.001481   0.000000 
  0.054422   0.022676   0.004535   0.000000 
  0.057963   0.010539   0.002342   0.000000 
  0.119629   0.015019   0.003755   0.000000 
  0.096491   0.002924   0.000000   0.000000 
  0.088768   0.021739   0.000000   0.000000 
  0.035714   0.035714   0.000000   0.000000 
  0.181474   0.018904   0.000000   0.000000 
  0.012821   0.000000   0.000000   0.000000 
  0.044444   0.026667   0.000000   0.000000 
  0.062112   0.004141   0.000000   0.000000 
  0.126923   0.012821   0.001282   0.001282 
  0.009091   0.009091   0.000000   0.000000 
  0.151321   0.026860   0.005745   0.000072 
  0.058182   0.018182   0.003636   0.000000 
  0.049834   0.007752   0.003322   0.000000 
  0.103125   0.026042   0.004167   0.000000 
  0.136246   0.016220   0.002595   0.000000 
  0.173438   0.021478   0.008054   0.000045 
  0.141369   0.025794   0.008681   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.054422   0.013605   0.002268   0.000000 
  0.198751   0.026423   0.004065   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.091004   0.006247   0.000312   0.000000 
  0.082645   0.024793   0.012397   0.000000 
  0.051200   0.014400   0.003200   0.000000 
  0.103806   0.031142   0.000000   0.000000 
  0.033613   0.016807   0.004202   0.000000 
  0.141443   0.036472   0.011821   0.000000 
  0.015789   0.002632   0.000000   0.000000 
  0.068182   0.000000   0.000000   0.000000 
  0.047619   0.047619   0.000000   0.000000 
  0.028096   0.004162   0.000000   0.000000 
  0.045752   0.013072   0.003268   0.000000 
  0.052009   0.011348   0.000946   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.020761   0.006920   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.025641   0.015385   0.000000   0.000000 
  0.085992   0.018863   0.002774   0.000000 
  0.107759   0.021552   0.001078   0.001078 
  0.032967   0.032967   0.000000   0.000000 
  0.159383   0.031955   0.010338   0.000078 
  0.027174   0.005435   0.000000   0.000000 
  0.145503   0.015873   0.001323   0.000000 
  0.157143   0.025000   0.008929   0.000149 
  0.013605   0.004535   0.000000   0.000000 
  0.017857   0.017857   0.000000   0.000000 
  0.088127   0.022032   0.000000   0.000000 
  0.137534   0.019377   0.002710   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.121951   0.038872   0.007317   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.141509   0.014151   0.000674   0.000000 
  0.107692   0.036923   0.000000   0.000000 
  0.095491   0.007958   0.000000   0.000000 
  0.078431   0.013072   0.000000   0.000000 
  0.072279   0.028061   0.001701   0.000000 
  0.019231   0.000000   0.000000   0.000000 
  0.252632   0.070175   0.021053   0.000000 
  0.082418   0.021978   0.000000   0.000000 
  0.008658   0.002165   0.000000   0.000000 
  0.109767   0.011649   0.003360   0.000112 
  0.142661   0.010974   0.001372   0.000000 
  0.074303   0.046440   0.000000   0.000000 
  0.066741   0.004449   0.000000   0.000000 
  0.136364   0.054113   0.006494   0.000000 
  0.144601   0.048077   0.015533   0.000000 
  0.038961   0.019481   0.004329   0.000000 
  0.169014   0.018310   0.003219   0.000000 
  0.174208   0.030166   0.009050   0.000094 
  0.105820   0.015873   0.000000   0.000000 
  0.138074   0.041561   0.005541   0.000000 
  0.073684   0.023684   0.005263   0.000000 
  0.128766   0.026822   0.004859   0.000097 
  0.164228   0.039125   0.005754   0.000000 
  0.056818   0.011364   0.001894   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.144118   0.035294   0.011765   0.000000 
  0.188196   0.064272   0.030036   0.000630 
  0.178571   0.095238   0.071429   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.086505   0.006920   0.000000   0.000000 
  0.186100   0.032007   0.004268   0.000000 
  0.104348   0.013913   0.005217   0.000000 
  0.220238   0.053571   0.010552   0.000135 
  0.052632   0.004511   0.000000   0.000000 
  0.070312   0.046875   0.003906   0.000000 
  0.070588   0.017647   0.000000   0.000000 
  0.133333   0.055556   0.005556   0.000000 
  0.101111   0.055556   0.008889   0.000000 
  0.019133   0.000000   0.000000   0.000000 
  0.141066   0.024138   0.010972   0.000313 
  0.058824   0.028595   0.001634   0.000000 
  0.092308   0.020513   0.005128   0.000000 
  0.092975   0.024793   0.000000   0.000000 
  0.076251   0.016576   0.002411   0.000000 
  0.118283   0.015727   0.004423   0.000000 
  0.059524   0.007937   0.005291   0.000000 
  0.007576   0.000000   0.000000   0.000000 
  0.098039   0.026144   0.000000   0.000000 
  0.140625   0.000000   0.000000   0.000000 
  0.109091   0.000000   0.000000   0.000000 
  0.094036   0.013468   0.003848   0.000000 
  0.160146   0.026081   0.008236   0.000114 
  0.111111   0.088889   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.003268   0.003268   0.000000   0.000000 
  0.063158   0.031579   0.005263   0.002632 
  0.141448   0.020339   0.005547   0.000000 
  0.053512   0.026756   0.001672   0.000000 
  0.159079   0.027211   0.007326   0.000000 
  0.125000   0.014286   0.003571   0.000000 
  0.174896   0.016062   0.003569   0.000000 
  0.118850   0.022574   0.007718   0.000000 
  0.069444   0.013889   0.000000   0.000000 
  0.054348   0.014493   0.000000   0.000000 
  0.159441   0.018881   0.001748   0.000000 
  0.099458   0.019718   0.003467   0.000217 
  0.076190   0.030476   0.001905   0.000000 
  0.099099   0.014553   0.002772   0.000693 
  0.098039   0.015686   0.007843   0.000000 
  0.110727   0.027682   0.006920   0.000000 
  0.109804   0.015686   0.003922   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.027778   0.009259   0.003086   0.000000 
  0.154762   0.064286   0.019048   0.000000 
  0.125571   0.013699   0.001522   0.000000 
  0.152043   0.024707   0.006335   0.000000 
  0.192982   0.036654   0.007519   0.000000 
  0.120000   0.010000   0.000000   0.000000 
  0.104094   0.020664   0.005424   0.000129 
  0.163564   0.019947   0.002660   0.000000 
  0.134526   0.020036   0.009302   0.000060 
  0.000000   0.000000   0.000000   0.000000 
  0.146154   0.030769   0.007692   0.000000 
  0.070986   0.012207   0.003005   0.000000 
  0.134259   0.024444   0.004630   0.000000 
  0.060000   0.020000   0.000000   0.000000 
